scope,feature_group,fold,balanced_accuracy,images,features
pooled,quantity_only,1,0.7083333333333334,600,10
pooled,quantity_only,2,0.725,600,10
pooled,quantity_only,3,0.675,600,10
pooled,quantity_only,4,0.7416666666666667,600,10
pooled,quantity_only,5,0.75,600,10
pooled,quantity_only,mean,0.72,600,10
pooled,arrangement_only,1,0.6583333333333334,600,32
pooled,arrangement_only,2,0.7333333333333334,600,32
pooled,arrangement_only,3,0.6583333333333333,600,32
pooled,arrangement_only,4,0.6000000000000001,600,32
pooled,arrangement_only,5,0.7,600,32
pooled,arrangement_only,mean,0.6700000000000002,600,32
pooled,quantity_plus_arrangement,1,0.7416666666666667,600,42
pooled,quantity_plus_arrangement,2,0.7916666666666667,600,42
pooled,quantity_plus_arrangement,3,0.6833333333333333,600,42
pooled,quantity_plus_arrangement,4,0.6833333333333333,600,42
pooled,quantity_plus_arrangement,5,0.7666666666666666,600,42
pooled,quantity_plus_arrangement,mean,0.7333333333333334,600,42
AcademicPosters,quantity_only,1,1.0,100,10
AcademicPosters,quantity_only,2,0.95,100,10
AcademicPosters,quantity_only,3,0.95,100,10
AcademicPosters,quantity_only,4,0.8,100,10
AcademicPosters,quantity_only,5,0.95,100,10
AcademicPosters,quantity_only,mean,0.93,100,10
AcademicPosters,arrangement_only,1,0.8500000000000001,100,32
AcademicPosters,arrangement_only,2,0.7,100,32
AcademicPosters,arrangement_only,3,0.8500000000000001,100,32
AcademicPosters,arrangement_only,4,0.85,100,32
AcademicPosters,arrangement_only,5,0.9,100,32
AcademicPosters,arrangement_only,mean,0.8300000000000001,100,32
AcademicPosters,quantity_plus_arrangement,1,1.0,100,42
AcademicPosters,quantity_plus_arrangement,2,0.9,100,42
AcademicPosters,quantity_plus_arrangement,3,1.0,100,42
AcademicPosters,quantity_plus_arrangement,4,0.9,100,42
AcademicPosters,quantity_plus_arrangement,5,0.95,100,42
AcademicPosters,quantity_plus_arrangement,mean,0.95,100,42
CommercialPosters,quantity_only,1,0.9,100,10
CommercialPosters,quantity_only,2,0.95,100,10
CommercialPosters,quantity_only,3,0.95,100,10
CommercialPosters,quantity_only,4,0.85,100,10
CommercialPosters,quantity_only,5,0.95,100,10
CommercialPosters,quantity_only,mean,0.9199999999999999,100,10
CommercialPosters,arrangement_only,1,0.9,100,32
CommercialPosters,arrangement_only,2,0.8,100,32
CommercialPosters,arrangement_only,3,0.85,100,32
CommercialPosters,arrangement_only,4,0.75,100,32
CommercialPosters,arrangement_only,5,0.9,100,32
CommercialPosters,arrangement_only,mean,0.8400000000000001,100,32
CommercialPosters,quantity_plus_arrangement,1,0.9,100,42
CommercialPosters,quantity_plus_arrangement,2,0.95,100,42
CommercialPosters,quantity_plus_arrangement,3,0.95,100,42
CommercialPosters,quantity_plus_arrangement,4,0.85,100,42
CommercialPosters,quantity_plus_arrangement,5,0.95,100,42
CommercialPosters,quantity_plus_arrangement,mean,0.9199999999999999,100,42
InfographicCharts,quantity_only,1,0.85,100,10
InfographicCharts,quantity_only,2,0.55,100,10
InfographicCharts,quantity_only,3,0.95,100,10
InfographicCharts,quantity_only,4,0.9,100,10
InfographicCharts,quantity_only,5,0.9,100,10
InfographicCharts,quantity_only,mean,0.8299999999999998,100,10
InfographicCharts,arrangement_only,1,0.75,100,32
InfographicCharts,arrangement_only,2,0.65,100,32
InfographicCharts,arrangement_only,3,0.7,100,32
InfographicCharts,arrangement_only,4,0.8,100,32
InfographicCharts,arrangement_only,5,0.8,100,32
InfographicCharts,arrangement_only,mean,0.7399999999999999,100,32
InfographicCharts,quantity_plus_arrangement,1,0.8500000000000001,100,42
InfographicCharts,quantity_plus_arrangement,2,0.7,100,42
InfographicCharts,quantity_plus_arrangement,3,1.0,100,42
InfographicCharts,quantity_plus_arrangement,4,0.9,100,42
InfographicCharts,quantity_plus_arrangement,5,0.95,100,42
InfographicCharts,quantity_plus_arrangement,mean,0.8799999999999999,100,42
Receipts,quantity_only,1,0.75,100,10
Receipts,quantity_only,2,0.6,100,10
Receipts,quantity_only,3,0.8,100,10
Receipts,quantity_only,4,0.75,100,10
Receipts,quantity_only,5,0.95,100,10
Receipts,quantity_only,mean,0.7700000000000001,100,10
Receipts,arrangement_only,1,0.8,100,32
Receipts,arrangement_only,2,0.9,100,32
Receipts,arrangement_only,3,0.85,100,32
Receipts,arrangement_only,4,0.85,100,32
Receipts,arrangement_only,5,0.8500000000000001,100,32
Receipts,arrangement_only,mean,0.85,100,32
Receipts,quantity_plus_arrangement,1,0.8,100,42
Receipts,quantity_plus_arrangement,2,0.95,100,42
Receipts,quantity_plus_arrangement,3,0.8,100,42
Receipts,quantity_plus_arrangement,4,0.85,100,42
Receipts,quantity_plus_arrangement,5,0.95,100,42
Receipts,quantity_plus_arrangement,mean,0.8699999999999999,100,42
Tables,quantity_only,1,0.75,100,10
Tables,quantity_only,2,0.75,100,10
Tables,quantity_only,3,0.95,100,10
Tables,quantity_only,4,0.8,100,10
Tables,quantity_only,5,0.8500000000000001,100,10
Tables,quantity_only,mean,0.82,100,10
Tables,arrangement_only,1,0.75,100,32
Tables,arrangement_only,2,0.7,100,32
Tables,arrangement_only,3,0.75,100,32
Tables,arrangement_only,4,0.8,100,32
Tables,arrangement_only,5,0.8500000000000001,100,32
Tables,arrangement_only,mean,0.77,100,32
Tables,quantity_plus_arrangement,1,0.65,100,42
Tables,quantity_plus_arrangement,2,0.85,100,42
Tables,quantity_plus_arrangement,3,0.95,100,42
Tables,quantity_plus_arrangement,4,0.8,100,42
Tables,quantity_plus_arrangement,5,0.9,100,42
Tables,quantity_plus_arrangement,mean,0.8300000000000001,100,42
UIScreenshots,quantity_only,1,0.8500000000000001,100,10
UIScreenshots,quantity_only,2,0.8,100,10
UIScreenshots,quantity_only,3,1.0,100,10
UIScreenshots,quantity_only,4,0.95,100,10
UIScreenshots,quantity_only,5,0.95,100,10
UIScreenshots,quantity_only,mean,0.9100000000000001,100,10
UIScreenshots,arrangement_only,1,0.85,100,32
UIScreenshots,arrangement_only,2,0.7,100,32
UIScreenshots,arrangement_only,3,0.9,100,32
UIScreenshots,arrangement_only,4,0.95,100,32
UIScreenshots,arrangement_only,5,0.95,100,32
UIScreenshots,arrangement_only,mean,0.8699999999999999,100,32
UIScreenshots,quantity_plus_arrangement,1,0.9,100,42
UIScreenshots,quantity_plus_arrangement,2,0.8,100,42
UIScreenshots,quantity_plus_arrangement,3,1.0,100,42
UIScreenshots,quantity_plus_arrangement,4,0.9,100,42
UIScreenshots,quantity_plus_arrangement,5,1.0,100,42
UIScreenshots,quantity_plus_arrangement,mean,0.9199999999999999,100,42
